num,Date,Cumulative_Killed_Persons,Cumulative_Injured_Persons,Daily_Killed_Persons,Daily_Injured_Persons
0,07-10-2023,232,1697,232,1697
1,08-10-2023,370,2200,138,503
2,09-10-2023,560,2900,190,700
3,10-10-2023,900,4250,340,1350
4,11-10-2023,1100,5339,200,1089
5,12-10-2023,1417,6268,317,929
6,13-10-2023,1900,7696,483,1428
7,14-10-2023,2228,8744,328,1048
8,15-10-2023,2670,9600,442,856
9,16-10-2023,2808,10850,138,1250
10,17-10-2023,3000,12500,192,1650
11,18-10-2023,3478,12500,478,0
12,19-10-2023,3785,12500,307,0
13,20-10-2023,4137,13162,352,662
14,21-10-2023,4385,13561,248,399
15,22-10-2023,4651,14425,266,864
16,23-10-2023,5087,15273,436,848
17,24-10-2023,5791,16297,704,1024
18,25-10-2023,6547,17439,756,1142
19,26-10-2023,7028,18482,481,1043
20,27-10-2023,7326,18967,298,485
21,28-10-2023,7703,19743,377,776
22,29-10-2023,8005,20242,302,499
23,30-10-2023,8309,21048,304,806
24,31-10-2023,8525,21543,216,495
25,01-11-2023,8805,22240,280,697
26,02-11-2023,9061,22911,256,671
27,03-11-2023,9257,23516,196,605
28,04-11-2023,9485,24173,228,657
29,05-11-2023,9770,24808,285,635
30,06-11-2023,10022,25408,252,600
31,07-11-2023,10328,25956,306,548
32,08-11-2023,10569,26475,241,519
33,09-11-2023,10818,26905,249,430
34,10-11-2023,11078,27490,260,585
35,12-11-2023,11078,27490,0,0
36,13-11-2023,11078,27490,0,0
37,14-11-2023,11078,27490,0,0
38,15-11-2023,11078,27490,0,0
39,17-11-2023,11078,27490,0,0
40,18-11-2023,11078,27490,0,0
41,19-11-2023,11078,27490,0,0
42,20-11-2023,11078,27490,0,0
43,22-11-2023,14500,35000,3422,7510
44,23-11-2023,14800,36000,300,1000
45,02-12-2023,15207,40652,407,4652
46,03-12-2023,15523,41316,316,664
47,05-12-2023,16248,43616,725,2300
48,08-12-2023,17487,46480,1239,2864
49,09-12-2023,17700,48700,213,2220
50,10-12-2023,17997,49229,297,529
51,11-12-2023,18205,49645,208,416
52,12-12-2023,18412,50100,207,455
53,13-12-2023,18608,50594,196,494
54,14-12-2023,18787,50897,179,303
55,15-12-2023,18800,51000,13,103
56,18-12-2023,19453,52286,653,1286
57,19-12-2023,19667,52586,214,300
58,27-12-2023,21110,53688,1443,1102
59,28-12-2023,21320,55603,210,1915
60,29-12-2023,21507,55915,187,312
61,30-12-2023,21672,56165,165,250
62,02-01-2024,22185,57035,513,870
63,03-01-2024,22313,57296,128,261
64,04-01-2024,22438,57614,125,318
65,05-01-2024,22600,57910,162,296
66,07-01-2024,22835,58416,235,506
67,09-01-2024,23084,58926,249,510
